第1位　牡羊座 ##### １位にランクインしたのは、水星が牡羊座にあるあなた。知的な能力を示す水星に、スピーディさと直感力の鋭さが取り柄の牡羊座の組み合わせは、最強の「頭の回転の早さ」を発揮します。そんなあなたは経験のないことでも、「なんとなくこんなもの」なんてわかってしまうようなことだってあり得そう。また初対面の人と出会って、ちょっと話しただけで相手の性格を把握できたり、知識のない分野の話をしても、適度に相づちを打つことができるなんて芸当も。ちょっとした天才みたいな、「頭の回転の早さ」をもっているようです。
第2位　双子座 ##### 水星は、双子座の支配星。だから水星が双子座にあるあなたは、頭脳の固まりのような人。ついでに言語能力に優れているから、人が何を言おうとしているのか、途中までいった時点で把握してしまうなんてことはいともカンタン。ついでに一度説明を受ければ、頭の中でそれを消化するのも早く、すぐにのみ込むことができるのです。おしゃべりをしていても、いいタイミングで気のきいたジョークを飛ばすなんていうのもあなたならでは。「頭の回転の早さ」は、かなり高いのです。せっかくだから、この能力を仕事に活かしてみては？
第3位　水瓶座 ##### 水星が水瓶座にあるあなたも、かなり聡明な人。さらに新しいものを受け入れるのに積極的なことが、「頭の回転の早さ」に一役買っていそう。まるであなたの頭の中の回路は、四方八方に伸びているみたい。必要なとき、必要なところへ的確な情報が飛んでいくようです。そんなあなただから、言われたことはもちろんだけれど、その先のことまで考えて気転をきかせてやってしまうということだって、たびたびあるよう。未知の体験に出くわしても、そこに照準を合わせてすぐに順応。それなりの対応がすぐにできることでしょう。
第４位　射手座 ##### 偏見をもたないあなたの、情報伝達回路もかなりフレキシブル。そのおかげか、あなたの「頭の回転の早さ」もハイスコア。信じられないような出来事が起ころうとも、突然予期せぬ出来事に巻き込まれても、「こんな風にすればいいんじゃない？」と、それなりの答えをすぐに出すことができるはずです。また率直に物を言いがちなあなたのこと、うざったい言い方をされたりするのは大嫌い。「なに？こうして欲しいってこと？」なんて、こちらから本題を切り出すこともたびたびある模様。それが的に当たっていたりするからスゴイ！
第５位　蟹座 ##### 水星が蟹座にあるあなたは、人の話を聞くときは親身になって耳を傾けるタイプ。だから、超スピーディな「頭の回転の早さ」はないけれど、適度な早さはもっていそう。途中まで話を聞いただけで、「つまりこうしたいわけ？」とあなたの方から話をまとめてしまうことだって多いのでは？また、あなたの真似上手なところも「頭の回転の早さ」に役立っているようです。一度手本を見せられるとそれに素直に従うあなたは、物覚えだってかなり早いのです。ちゃんと次からは、その通りにやってのけることでしょう。そんなあなたは、５位に。
第６位　山羊座 ##### ちょっとカチカチ頭のあなただけれど、「頭の回転の早さ」は普通みたい。真面目なあなただから、しっかり人の話は聞くし、「こうやるのよ」と手本を示されればしっかりメモして、頭にたたきこむなんて朝飯前。物事の方程式がなんとなくわかっているから、人の話を聞いて何を求められているか、何をしてもらいたいのかということを、きちっと把握できるはず。ただ、把握するまでには、ちょっと時間がかかるだけ。でも、常識外のことがあると、頭の回転はかなりにぶりそう。すぐに判断したり、答えを出すことはちょっとできないかも。
第７位　獅子座 ##### 水星が獅子座にあるあなたは、聡明だけれど「頭の回転の早さ」においてはちょっと劣るようです。それというのも、納得したり理解するのに時間がちょっとかかるため。適当で済ませられないトコロや、慎重な一面が、その邪魔をしているようです。何かを始めるにしても、じっくりと話を聞いてから。問題を解決するのにも、よく状況を把握してから。そして初めて体験することは、面白そうだけどまずはやってみないとわからない、というのがあなたの論理。だから、すぐに答えを出したり、対応することはできないみたい。
第８位　乙女座 ##### 水星が乙女座にあるあなたは、緻密な頭脳の持ち主。だから頭の回転も早そうに見えるのだけれど、8位になってしまった理由は？それは、緻密すぎてしまうため。「これはこうなんだけれど、こうしたらどうなってしまうのだろう？」なんて、考えれば考えるほど、不安が襲ってきたり、道が逸れていってしまうのです。こうなると頭にインプットされたことも、メリーゴーランドみたいにグルグル同じ所を堂々巡り。あなたの口から、インプットされたことへの答えはなかなか出てきません。むしろ困ったことに、考え込んじゃったりして。
第９位　天秤座 ##### スマートな知能をもつあなたも、なんだか頭の回転は早いように見えるのですが。でも現実は、ちょっと違うみたい。どうやらあなたの頭の回転をはばんでいるのは、優柔不断さのよう。何かあると、一つの答えはすぐに出るのに、その直後、今度はそれとは逆の答えをあなたは出してしまうのです。そうなると、どっちがいいのかはっきりできずに、右往左往。相手が何を望んでいるのかということを判断するよりも先に、「あなたは何をしたいわけ？」なんて逆に聞かれるハメになりそう。というわけで、「頭の回転の早さ」は９位に。
第１０位　魚座 ##### あなたの頭の中は、いつも夢見がちなフワフワ状態。だから、人の話をふっと聞き漏らしてしまったり、会話の途中でちょっと他の世界にワープしちゃっているなんてこともたびたび。「ちゃんと聞いている？」なんて、友人から注意されることもあるのでは？そんなあなただから、「頭の回転が早い」とは、お世辞にも言えません。答えがすぐ返ってきたと思ったら、ぜんぜん違うことを答えていることもたびたび。でもあなたは、人の心を察知することは得意。だから言われなくても、何かをやってあげるということはありそうです。
